Line#,Date,"Wind Direction (S-WDA 20989094:20975986-1), *, AMNC, Kingston, NY","Wind Speed (S-WSB 20989094:20977362-1), m/s, AMNC, Kingston, NY","Gust Speed (S-WSB 20989094:20977362-2), m/s, AMNC, Kingston, NY","Temperature (S-THB 20989094:20977910-1), *C, AMNC, Kingston, NY","RH (S-THB 20989094:20977910-2), %, AMNC, Kingston, NY","Dew Point (S-THB 20989094:20977910-3), *C, AMNC, Kingston, NY","Pressure (S-BPB 20989094:20979916-1), mbar, AMNC, Kingston, NY"
1,04/01/21 00:15:00,173,0.5,4.5,14.41,90.40,12.87,"1,004.0"
2,04/01/21 01:15:00,177,0.5,3.5,14.58,91.60,13.24,"1,003.4"
3,04/01/21 02:15:00,160,0.5,3.5,14.43,91.20,13.03,"1,002.9"
4,04/01/21 03:15:00,73,2.0,10.6,9.21,92.00,7.99,"1,003.1"
5,04/01/21 04:15:00,27,4.0,9.6,7.17,96.40,6.64,"1,003.5"
6,04/01/21 05:15:00,25,3.5,8.6,5.74,96.00,5.16,"1,003.0"
7,04/01/21 06:15:00,20,2.5,6.5,5.36,95.50,4.70,"1,001.9"
8,04/01/21 07:15:00,4,1.5,6.5,5.90,88.90,4.21,"1,000.9"
9,04/01/21 08:15:00,293,0.5,5.5,6.46,84.50,4.04,"1,001.2"
10,04/01/21 09:15:00,345,2.5,9.1,7.12,68.10,1.64,"1,000.5"
11,04/01/21 10:15:00,352,3.5,10.6,7.29,62.50,0.61,"1,001.8"
12,04/01/21 11:15:00,355,3.0,11.1,6.31,70.00,1.25,"1,002.2"
13,04/01/21 12:15:00,14,3.5,8.6,5.36,75.90,1.46,"1,001.2"
14,04/01/21 13:15:00,20,3.0,9.6,5.00,80.00,1.84,"1,001.5"
15,04/01/21 14:15:00,10,1.5,6.0,5.26,81.20,2.30,"1,001.4"
16,04/01/21 15:15:00,1,2.0,8.1,5.95,77.80,2.38,"1,002.2"
17,04/01/21 16:15:00,316,1.0,5.5,8.17,58.00,0.41,"1,002.4"
18,04/01/21 17:15:00,347,3.0,8.6,8.82,44.80,-2.51,"1,000.5"
19,04/01/21 18:15:00,293,4.5,10.1,8.39,43.50,-3.29,"1,002.3"
20,04/01/21 19:15:00,295,5.0,9.6,7.09,48.10,-3.14,"1,002.9"
21,04/01/21 20:15:00,291,4.5,10.6,6.94,47.70,-3.39,"1,003.6"
22,04/01/21 21:15:00,306,4.5,9.1,6.26,48.00,-3.94,"1,004.2"
23,04/01/21 22:15:00,303,3.5,8.6,6.10,50.50,-3.40,"1,005.1"
24,04/01/21 23:15:00,300,2.5,6.5,5.18,53.70,-3.44,"1,005.9"
25,04/02/21 00:15:00,312,1.5,6.5,4.48,46.80,-5.90,"1,007.1"
26,04/02/21 01:15:00,338,2.0,6.0,3.46,48.60,-6.35,"1,008.4"
27,04/02/21 02:15:00,357,2.5,7.5,2.61,47.40,-7.45,"1,008.6"
28,04/02/21 03:15:00,355,2.5,7.5,2.07,47.50,-7.92,"1,009.0"
29,04/02/21 04:15:00,4,2.0,7.0,1.72,49.50,-7.71,"1,009.1"
30,04/02/21 05:15:00,18,2.0,5.5,0.00,56.70,-7.57,"1,009.4"
31,04/02/21 06:15:00,336,2.5,6.0,-0.42,49.70,-9.64,"1,010.0"
32,04/02/21 07:15:00,307,2.5,6.0,-0.90,46.90,-10.82,"1,009.9"
33,04/02/21 08:15:00,303,1.5,5.0,-1.84,48.40,-11.29,"1,010.7"
34,04/02/21 09:15:00,334,3.0,9.1,-3.42,47.60,-12.95,"1,012.0"
35,04/02/21 10:15:00,354,3.0,8.1,-3.42,44.70,-13.72,"1,012.8"
36,04/02/21 11:15:00,348,2.5,7.5,-3.15,43.00,-13.95,"1,013.5"
37,04/02/21 12:15:00,340,2.5,7.5,-2.77,44.40,-13.21,"1,013.9"
38,04/02/21 13:15:00,331,2.5,7.0,-2.30,40.90,-13.79,"1,013.9"
